Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Sao Tome and Principe,STP,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,376459531.150897,422475544.05156,449722627.808042,486939448.043886,506122665.925758,519693559.688637,541020702.680323,510473177.606587,568963141.090766,636217933.350876,635224720.801456,676154316.181896,711213101.655078,828353862.937865,993443247.544168,1118602098.8079,1272434617.36875,1365452217.67886,1419852369.84081,1467273474.71863
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,328459608764.111,376900133511.348,415964509673.115,519796800000,429097866666.667,528207466666.667,680660800000,751921333333.333,769755733333.333,787153066666.667,693414400000,689279466666.667,741266133333.333,886564800000,888890133333.333,767951200000,982661066666.667,1239075200000,1218584533333.33,1237529866666.67
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,15975.7473782258,17563.6145370639,18596.1502627898,22320.4888964331,17718.3911648365,22028.3901426586,27126.7498747702,28733.4375513452,27865.465604962,27805.4850319422,23256.1549553531,22267.7217050387,23929.2907135982,29360.0658968566,29566.7933827436,24338.8307301067,31920.7653655643,38510.2276211037,36156.848337701,35057.2252306969
Saudi Arabia,SAU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1100944673778.9,1172500616123.68,1230924985846.62,1332905707164.03,1326820783280.99,1410623398554.68,1609021434441.12,1701855662189.08,1718292769472.73,1771539691265.8,1608022150954.67,1545761853587.76,1645531261860.11,1792988810566.04,1790607498345.21,1499327559869.91,1929888259783.05,2315588932554.49,2411929204431.52,2514913068784.39
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,11009033437.939,11697918243.0035,13994218412.9619,16853989627.548,16145867494.9405,16121315909.0758,17814283639.3119,17660870411.5235,18918667724.8817,19797253440.2679,17774766696.1759,19040312333.1864,20996562943.5979,23116701556.1381,23403995992.1354,24530513037.7518,27520784129.7508,27783332222.6759,30696331295.7826,32267254425.052
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,979.846101520171,1017.20196747987,1188.93877808175,1398.79218010021,1308.69404336205,1275.88357492357,1374.67591873844,1326.83798848379,1379.83196553924,1398.89137601382,1218.00613555438,1266.43957151587,1356.80518449031,1452.55612562445,1431.18128932159,1461.08720350553,1598.10676952274,1574.0281059306,1698.03387300843,1743.98888384359
Senegal,SEN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,26405610456.2947,27854350284.0448,29417807069.8791,31094983347.2252,32147815840.6992,33641848599.7654,34793989168.2758,36793686306.646,37962162529.6039,40387333256.6553,43696523920.8699,46623906157.9398,50051751949.2583,53794440219.2467,59654664271.8226,63008586953.5983,71874343647.3324,79963390334.37,86367675226.1367,94552533446.064
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,28334256180.8801,33298057361.7412,44888028946.0854,54220641201.6474,46955984409.7271,43536629233.1424,51251098408.0924,45103269969.4112,50455529604.0696,49114321280.3466,41297410634.9586,42225495909.5633,45972834713.8077,52787520248.9242,53864693664.5568,55874017668.998,66159884072.5308,66797564758.339,81342660752.3732,89083506277.2344
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,3807.97417321786,4492.7136699046,6081.08765700202,7376.73517910716,6414.0448463847,5970.92660940072,7082.2861666075,6263.04086072815,7040.41812068781,6886.67809068704,5820.3215576888,5982.37030126471,6548.03653824187,7559.86165747394,7755.632986437,8098.70955668849,9680.52798074468,10022.9688543402,12281.5058488303,13523.7246826854
Serbia,SRB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,69925508616.3632,77566242918.0489,86259818628.7086,96453310769.8579,95399006505.6812,97132913474.1468,103470091703.986,104466206525.612,109268355623.316,109089071122.197,110336653309.674,116145024614.706,121357054729.466,128959381818.704,142981510856.386,144970128544.858,159957380264.659,174877126875.262,190375744361.824,209915940223.32
